size, tseq, tpar, threads
7600, 0.203375, 0.179182, 2
7700, 0.210784, 0.183332, 2
7800, 0.217662, 0.191169, 2
7900, 0.222769, 0.195296, 2
8000, 0.225703, 0.199272, 2
8100, 0.230580, 0.204542, 2
8200, 0.236890, 0.210702, 2
8300, 0.244068, 0.211472, 2
8400, 0.249392, 0.214575, 2
8500, 0.254445, 0.221104, 2
8600, 0.262894, 0.234401, 2
8700, 0.265902, 0.232770, 2
8800, 0.272086, 0.239868, 2
8900, 0.279425, 0.245263, 2
9000, 0.288484, 0.249509, 2
9100, 0.297809, 0.254707, 2
9200, 0.299232, 0.256407, 2
9300, 0.305420, 0.262097, 2
9400, 0.311611, 0.268307, 2
9500, 0.319385, 0.308601, 2
9600, 0.324847, 0.278822, 2
9700, 0.335266, 0.284197, 2
9800, 0.341878, 0.323334, 2
9900, 0.346696, 0.298600, 2
10000, 0.352429, 0.302013, 2
10100, 0.360123, 0.313327, 2
10200, 0.363872, 0.314296, 2
10300, 0.373850, 0.320861, 2
10400, 0.382012, 0.325676, 2
10500, 0.391018, 0.332977, 2
10600, 0.396513, 0.341637, 2
10700, 0.404823, 0.344299, 2
10800, 0.415391, 0.353552, 2
10900, 0.417892, 0.352477, 2
11000, 0.431620, 0.380348, 2
11100, 0.433917, 0.371339, 2
11200, 0.442446, 0.414255, 2
11300, 0.455162, 0.379267, 2
11400, 0.462575, 0.422564, 2
11500, 0.467833, 0.396472, 2
11600, 0.486499, 0.401188, 2
11700, 0.483828, 0.415809, 2
11800, 0.493055, 0.423302, 2
11900, 0.512018, 0.454001, 2
12000, 0.509050, 0.432424, 2
12100, 0.516582, 0.441681, 2
12200, 0.524668, 0.443083, 2
12300, 0.537211, 0.453426, 2
12400, 0.541626, 0.460727, 2
12500, 0.551399, 0.464433, 2
12600, 0.563271, 0.474554, 2
12700, 0.570037, 0.474103, 2
12800, 0.580473, 0.480162, 2
12900, 0.585002, 0.491053, 2
13000, 0.596881, 0.505349, 2
13100, 0.606744, 0.505739, 2
13200, 0.616276, 0.515026, 2
13300, 0.621586, 0.524855, 2
13400, 0.661212, 0.588835, 2
13500, 0.644067, 0.554828, 2
13600, 0.649148, 0.547560, 2
13700, 0.662240, 0.550336, 2
13800, 0.676288, 0.600851, 2
13900, 0.683265, 0.565022, 2
14000, 0.692292, 0.576630, 2
14100, 0.703153, 0.581801, 2
14200, 0.710093, 0.607206, 2
14300, 0.720576, 0.650363, 2
14400, 0.747990, 0.617402, 2
14500, 0.766283, 0.625329, 2
14600, 0.749538, 0.621711, 2
14700, 0.777864, 0.638054, 2
14800, 0.771736, 0.641799, 2
14900, 0.791962, 0.651230, 2
15000, 0.795552, 0.659116, 2
15100, 0.834961, 0.662293, 2
15200, 0.817065, 0.676397, 2
15300, 0.832406, 0.687943, 2
15400, 0.850088, 0.696150, 2
15500, 0.857106, 0.744079, 2
15600, 0.879419, 0.704408, 2
15700, 0.899443, 0.716306, 2
15800, 0.887268, 0.724381, 2
15900, 0.898127, 0.732301, 2
16000, 0.899696, 0.739603, 2
16100, 0.914775, 0.746658, 2
16200, 0.929000, 0.759996, 2
16300, 0.943534, 0.767288, 2
16400, 0.962676, 0.782914, 2
16500, 0.980793, 0.791420, 2
16600, 1.026619, 0.825784, 2
16700, 0.995714, 0.810425, 2
16800, 1.043951, 0.824960, 2
16900, 1.005421, 0.830338, 2
17000, 1.016336, 0.843208, 2
17100, 1.041821, 0.850889, 2
17200, 1.047296, 0.860351, 2
17300, 1.079991, 0.866945, 2
17400, 1.072477, 0.882041, 2
17500, 1.079014, 0.888893, 2
17600, 1.108619, 0.902651, 2
17700, 1.109502, 0.901194, 2
17800, 1.115833, 0.925774, 2
17900, 1.130341, 0.937237, 2
18000, 1.159671, 0.950677, 2
18100, 1.158583, 0.953444, 2
18200, 1.197440, 0.958278, 2
18300, 1.186904, 0.986513, 2
18400, 1.195276, 0.988635, 2
18500, 1.229280, 1.009617, 2
18600, 1.244149, 1.010095, 2
18700, 1.252319, 1.018186, 2
18800, 1.251464, 1.042922, 2
18900, 1.315473, 1.063351, 2
19000, 1.275850, 1.071768, 2
19100, 1.318305, 1.063165, 2
19200, 1.300398, 1.069505, 2
19300, 1.353735, 1.083890, 2
19400, 1.343429, 1.086188, 2
19500, 1.367756, 1.112362, 2
19600, 1.402799, 1.100793, 2
19700, 1.396613, 1.138178, 2
19800, 1.416594, 1.127319, 2
19900, 1.438689, 1.176659, 2
20000, 1.436591, 1.156563, 2
