size, tseq, tpar, threads
100, 0.000054, 0.000396, 2
200, 0.000172, 0.000753, 2
300, 0.000382, 0.001220, 2
400, 0.000653, 0.001628, 2
500, 0.000938, 0.002209, 2
600, 0.001346, 0.002655, 2
700, 0.001819, 0.003477, 2
800, 0.002441, 0.004022, 2
900, 0.003084, 0.005327, 2
1000, 0.003994, 0.005617, 2
1100, 0.004377, 0.006362, 2
1200, 0.005861, 0.007498, 2
1300, 0.006269, 0.008546, 2
1400, 0.006968, 0.009288, 2
1500, 0.008080, 0.010527, 2
1600, 0.009174, 0.011675, 2
1700, 0.010535, 0.012645, 2
1800, 0.011687, 0.014267, 2
1900, 0.013823, 0.015445, 2
2000, 0.015918, 0.017082, 2
2100, 0.018466, 0.018431, 2
2200, 0.017684, 0.019519, 2
2300, 0.020208, 0.021380, 2
2400, 0.021036, 0.023233, 2
2500, 0.023134, 0.024214, 2
2600, 0.025662, 0.026060, 2
2700, 0.026942, 0.027658, 2
2800, 0.028466, 0.030499, 2
2900, 0.031127, 0.032104, 2
3000, 0.032974, 0.033364, 2
3100, 0.037286, 0.036348, 2
3200, 0.037700, 0.037379, 2
3300, 0.040011, 0.040174, 2
3400, 0.042744, 0.041685, 2
3500, 0.046037, 0.044715, 2
3600, 0.048268, 0.050271, 2
3700, 0.050489, 0.049291, 2
3800, 0.052137, 0.050749, 2
3900, 0.055002, 0.054192, 2
4000, 0.059675, 0.056893, 2
4100, 0.061573, 0.061490, 2
4200, 0.063863, 0.060881, 2
4300, 0.067211, 0.065010, 2
4400, 0.070567, 0.067157, 2
4500, 0.072827, 0.072105, 2
4600, 0.075739, 0.071889, 2
4700, 0.080575, 0.073026, 2
4800, 0.082016, 0.076324, 2
4900, 0.085704, 0.079695, 2
5000, 0.088799, 0.081876, 2
5100, 0.093789, 0.085630, 2
5200, 0.096157, 0.089528, 2
5300, 0.100323, 0.092493, 2
5400, 0.103868, 0.095426, 2
5500, 0.106569, 0.097564, 2
5600, 0.111781, 0.103270, 2
5700, 0.118915, 0.105772, 2
5800, 0.119132, 0.107633, 2
5900, 0.127575, 0.112670, 2
6000, 0.127338, 0.116793, 2
6100, 0.131094, 0.122015, 2
6200, 0.139178, 0.122878, 2
6300, 0.140495, 0.131081, 2
6400, 0.144486, 0.129713, 2
6500, 0.149156, 0.132626, 2
6600, 0.153271, 0.139715, 2
6700, 0.158659, 0.147714, 2
6800, 0.164381, 0.149938, 2
6900, 0.169302, 0.150702, 2
7000, 0.173880, 0.156482, 2
7100, 0.179769, 0.159283, 2
7200, 0.190861, 0.164966, 2
7300, 0.190880, 0.166483, 2
7400, 0.193656, 0.170518, 2
7500, 0.199625, 0.176888, 2
