size, tseq, tpar, threads
17800, 0.961142, 0.646294, 2
17900, 0.971548, 0.688453, 2
18000, 0.985382, 0.662000, 2
18100, 0.998144, 0.674472, 2
18200, 1.006881, 0.671932, 2
18300, 1.019080, 0.688905, 2
18400, 1.028700, 0.686630, 2
18500, 1.039534, 0.684985, 2
18600, 1.050499, 0.695424, 2
18700, 1.063733, 0.708043, 2
18800, 1.083539, 0.721559, 2
18900, 1.089867, 0.728759, 2
19000, 1.104419, 0.799256, 2
19100, 1.113784, 0.727710, 2
19200, 1.252368, 0.897632, 2
19300, 1.148348, 0.785731, 2
19400, 1.146857, 0.757658, 2
19500, 1.158927, 0.771631, 2
19600, 1.168598, 0.763085, 2
19700, 1.180322, 0.800334, 2
19800, 1.208822, 0.793871, 2
19900, 1.203448, 0.799731, 2
20000, 1.216832, 0.813512, 2
