size, tseq, tpar, threads
100, 0.000049, 0.000766, 4
200, 0.000183, 0.003457, 4
300, 0.000312, 0.001934, 4
400, 0.000527, 0.002583, 4
500, 0.000808, 0.003094, 4
600, 0.001465, 0.040257, 4
700, 0.001535, 0.004439, 4
800, 0.002020, 0.004912, 4
900, 0.002517, 0.005593, 4
1000, 0.003091, 0.006177, 4
1100, 0.003807, 0.007105, 4
1200, 0.004606, 0.007940, 4
1300, 0.007126, 0.061659, 4
1400, 0.008068, 0.018692, 4
1500, 0.007199, 0.010086, 4
1600, 0.008450, 0.011485, 4
1700, 0.008890, 0.011855, 4
1800, 0.009865, 0.012709, 4
1900, 0.011016, 0.013664, 4
2000, 0.012127, 0.014342, 4
2100, 0.013367, 0.016050, 4
2200, 0.014572, 0.016112, 4
2300, 0.015949, 0.016997, 4
2400, 0.017276, 0.018276, 4
2500, 0.018675, 0.019151, 4
2600, 0.020315, 0.020692, 4
2700, 0.021833, 0.023998, 4
2800, 0.024051, 0.028627, 4
2900, 0.025369, 0.025099, 4
3000, 0.036424, 0.047668, 4
3100, 0.032983, 0.037995, 4
3200, 0.031882, 0.038694, 4
3300, 0.088027, 0.334854, 4
3400, 0.034751, 0.029269, 4
3500, 0.037666, 0.042002, 4
3600, 0.040346, 0.032930, 4
3700, 0.041245, 0.040858, 4
3800, 0.043946, 0.038642, 4
3900, 0.045825, 0.039556, 4
4000, 0.048223, 0.040624, 4
4100, 0.049758, 0.039891, 4
4200, 0.052492, 0.048483, 4
4300, 0.057494, 0.043780, 4
4400, 0.057911, 0.044846, 4
4500, 0.061605, 0.046761, 4
4600, 0.063306, 0.048063, 4
4700, 0.067358, 0.049892, 4
4800, 0.068743, 0.051151, 4
4900, 0.074879, 0.052212, 4
5000, 0.075135, 0.053861, 4
5100, 0.078558, 0.056915, 4
5200, 0.080943, 0.058065, 4
5300, 0.084988, 0.058766, 4
5400, 0.087089, 0.060690, 4
5500, 0.093483, 0.222141, 4
5600, 0.094959, 0.066281, 4
5700, 0.097215, 0.066850, 4
5800, 0.113733, 0.100116, 4
5900, 0.121015, 0.178769, 4
6000, 0.108710, 0.072262, 4
6100, 0.113861, 0.076411, 4
6200, 0.115818, 0.074722, 4
6300, 0.118504, 0.076807, 4
6400, 0.124619, 0.081056, 4
6500, 0.150984, 0.104183, 4
6600, 0.131402, 0.082898, 4
6700, 0.134254, 0.090975, 4
6800, 0.139288, 0.087555, 4
6900, 0.167387, 0.170217, 4
7000, 0.147471, 0.091329, 4
7100, 0.154665, 0.100569, 4
7200, 0.158396, 0.096163, 4
7300, 0.162085, 0.098575, 4
7400, 0.162974, 0.107353, 4
7500, 0.169818, 0.114060, 4
7600, 0.177778, 0.105710, 4
7700, 0.178586, 0.107558, 4
7800, 0.180436, 0.118222, 4
7900, 0.187766, 0.112916, 4
8000, 0.190432, 0.112278, 4
8100, 0.195155, 0.115826, 4
8200, 0.199491, 0.117738, 4
8300, 0.204245, 0.126798, 4
8400, 0.209433, 0.164603, 4
8500, 0.215830, 0.125647, 4
8600, 0.221923, 0.136276, 4
8700, 0.225519, 0.131642, 4
8800, 0.232217, 0.137396, 4
8900, 0.280615, 0.153050, 4
9000, 0.242643, 0.142603, 4
9100, 0.263398, 0.232794, 4
9200, 0.253364, 0.143038, 4
9300, 0.260095, 0.146708, 4
9400, 0.265283, 0.147540, 4
9500, 0.282156, 0.292470, 4
9600, 0.285399, 0.164922, 4
9700, 0.311843, 0.192816, 4
9800, 0.288478, 0.163710, 4
9900, 0.294020, 0.167039, 4
10000, 0.298779, 0.165757, 4
10100, 0.311699, 0.178283, 4
10200, 0.340379, 0.277339, 4
10300, 0.322998, 0.176397, 4
10400, 0.324768, 0.189442, 4
10500, 0.332930, 0.194866, 4
10600, 0.338056, 0.187207, 4
10700, 0.342897, 0.196796, 4
10800, 0.438603, 0.707930, 4
10900, 0.361530, 0.219787, 4
11000, 0.360604, 0.210460, 4
11100, 0.371755, 0.205136, 4
11200, 0.379075, 0.242714, 4
11300, 0.390153, 0.211306, 4
11400, 0.396443, 0.223621, 4
11500, 0.396971, 0.227344, 4
11600, 0.423857, 0.329454, 4
11700, 0.412032, 0.234018, 4
11800, 0.420318, 0.237355, 4
11900, 0.430140, 0.248464, 4
12000, 0.442554, 0.229502, 4
12100, 0.438899, 0.237205, 4
12200, 0.443581, 0.233739, 4
12300, 0.498361, 0.255231, 4
12400, 0.494677, 0.429848, 4
12500, 0.469282, 0.300901, 4
12600, 0.486737, 0.286362, 4
12700, 0.486810, 0.302849, 4
12800, 0.489163, 0.262169, 4
12900, 0.503263, 0.269609, 4
13000, 0.505427, 0.268500, 4
13100, 0.528139, 0.269708, 4
13200, 0.518005, 0.277451, 4
13300, 0.526918, 0.272043, 4
13400, 0.536241, 0.284686, 4
13500, 0.543712, 0.278003, 4
13600, 0.551134, 0.283947, 4
13700, 0.561703, 0.293493, 4
13800, 0.570706, 0.307724, 4
13900, 0.577925, 0.314162, 4
14000, 0.590064, 0.320720, 4
14100, 0.593826, 0.309799, 4
14200, 0.600869, 0.315894, 4
14300, 0.610819, 0.353252, 4
14400, 0.620541, 0.324595, 4
14500, 0.628388, 0.333156, 4
14600, 0.637498, 0.332583, 4
14700, 0.646887, 0.338073, 4
14800, 0.653766, 0.344409, 4
14900, 0.663605, 0.338931, 4
15000, 0.672484, 0.342677, 4
15100, 0.682132, 0.356038, 4
15200, 0.691396, 0.360824, 4
15300, 0.697464, 0.361492, 4
15400, 0.708084, 0.369870, 4
15500, 0.718889, 0.368422, 4
15600, 0.748501, 0.433914, 4
15700, 0.739029, 0.389346, 4
15800, 0.750570, 0.379191, 4
15900, 0.755524, 0.382087, 4
16000, 0.762589, 0.415593, 4
16100, 0.773676, 0.388347, 4
16200, 0.784831, 0.390411, 4
16300, 0.798431, 0.409077, 4
16400, 0.804502, 0.405805, 4
16500, 0.820551, 0.410790, 4
16600, 0.825758, 0.431039, 4
16700, 0.835288, 0.416718, 4
16800, 0.840846, 0.418698, 4
16900, 0.852965, 0.427571, 4
17000, 0.863275, 0.683262, 4
17100, 0.898798, 0.445880, 4
17200, 0.891106, 0.454467, 4
17300, 0.906612, 0.449522, 4
17400, 0.904107, 0.457934, 4
17500, 0.915211, 0.465716, 4
17600, 0.924983, 0.461243, 4
17700, 0.942505, 0.467622, 4
17800, 0.946960, 0.470754, 4
17900, 0.962657, 0.472453, 4
18000, 0.970692, 0.483865, 4
18100, 0.980575, 0.486615, 4
18200, 1.002924, 0.482420, 4
18300, 1.004530, 0.488435, 4
18400, 1.009071, 0.515671, 4
18500, 1.019491, 0.497556, 4
18600, 1.033118, 0.504214, 4
18700, 1.040733, 0.505452, 4
18800, 1.055950, 0.530020, 4
18900, 1.064703, 0.562964, 4
19000, 1.077594, 0.521053, 4
19100, 1.084997, 0.556945, 4
19200, 1.099021, 0.526089, 4
19300, 1.118554, 0.609029, 4
19400, 1.125993, 0.541004, 4
