size, tseq, tpar, threads
17800, 1.135004, 1.581151, 4
17900, 1.138514, 1.589977, 4
18000, 1.171021, 1.618808, 4
18100, 1.152871, 1.622915, 4
18200, 1.178199, 1.628991, 4
18300, 1.181001, 1.640351, 4
18400, 1.211164, 1.655196, 4
18500, 1.218037, 1.680244, 4
18600, 1.223108, 1.694054, 4
18700, 1.233649, 1.697445, 4
18800, 1.267831, 1.711795, 4
18900, 1.271041, 1.718312, 4
19000, 1.282736, 1.732150, 4
19100, 1.291020, 1.744067, 4
19200, 1.306769, 1.786642, 4
19300, 1.323015, 1.786333, 4
19400, 1.330458, 1.798363, 4
19500, 1.356964, 1.820990, 4
19600, 1.369027, 1.890602, 4
19700, 1.380391, 1.839945, 4
19800, 1.387860, 1.867647, 4
19900, 1.399542, 1.870286, 4
20000, 1.419333, 1.888393, 4
